
"Akron, OH","657,575","694,960","703,200","37,385",5.7,"8,240",1.2,72
"Albany-Schenectady-Troy, NY","809,642","825,875","870,716","16,233",2.0,"44,841",5.4,58
"Albuquerque, NM","599,416","729,649","887,077","130,233",21.7,"157,428",21.6,57
"Allentown-Bethlehem-Easton, PA-NJ","686,688","740,395","821,173","53,707",7.8,"80,778",10.9,64
"Anchorage, AK","266,021","319,605","380,821","53,584",20.1,"61,216",19.2,133
"Ann Arbor, MI","282,937","322,895","344,791","39,958",14.1,"21,896",6.8,146
"Asheville, NC","307,999","369,171","424,858","61,172",19.9,"55,687",15.1,117
"Atlanta-Sandy Springs-Marietta, GA","3,068,975","4,247,981","5,268,860","1,179,006",38.4,"1,020,879",24.0,9
"Atlantic City-Hammonton, NJ","224,327","252,552","274,549","28,225",12.6,"21,997",8.7,166
"Augusta-Richmond County, GA-SC","435,799","499,684","556,877","63,885",14.7,"57,193",11.4,92
"Austin-Round Rock-San Marcos, TX","846,227","1,249,763","1,716,289","403,536",47.7,"466,526",37.3,35
"Bakersfield-Delano, CA","544,981","661,645","839,631","116,664",21.4,"177,986",26.9,62
"Baltimore-Towson, MD","2,382,172","2,552,994","2,710,489","170,822",7.2,"157,495",6.2,20
"Baton Rouge, LA","623,850","705,973","802,484","82,123",13.2,"96,511",13.7,65
"Beaumont-Port Arthur, TX","361,218","385,090","388,745","23,872",6.6,"3,655",0.9,132
"Binghamton, NY","264,497","252,320","251,725","-12,177",-4.6,-595,-0.2,182
"Birmingham-Hoover, AL","956,646","1,052,238","1,128,047","95,592",10.0,"75,809",7.2,49
"Boise City-Nampa, ID","319,596","464,840","616,561","145,244",45.4,"151,721",32.6,86
"Boston-Cambridge-Quincy, MA-NH","4,133,895","4,391,344","4,552,402","257,449",6.2,"161,058",3.7,10
"Boulder, CO","208,949","269,814","294,567","60,865",29.1,"24,753",9.2,160
"Bremerton-Silverdale, WA","189,731","231,969","251,133","42,238",22.3,"19,164",8.3,183
"Bridgeport-Stamford-Norwalk, CT","827,645","882,567","916,829","54,922",6.6,"34,262",3.9,56
"Brownsville-Harlingen, TX","260,120","335,227","406,220","75,107",28.9,"70,993",21.2,126
"Buffalo-Niagara Falls, NY","1,189,340","1,170,111","1,135,509","-19,229",-1.6,"-34,602",-3.0,47
"Canton-Massillon, OH","394,106","406,934","404,422","12,828",3.3,"-2,512",-0.6,128
"Cape Coral-Fort Myers, FL","335,113","440,888","618,754","105,775",31.6,"177,866",40.3,85
"Cedar Rapids, IA","210,640","237,230","257,940","26,590",12.6,"20,710",8.7,176
"Charleston, WV","307,689","309,635","304,284","1,946",0.6,"-5,351",-1.7,154
